"filename", "language", "JSON", "Markdown", "Python", "JavaScript", "CSS", "HTML", "XML", "YAML", "comment", "blank", "total"
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\SECURITY.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\package-lock.json", "JSON", 18673, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18674
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\package.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\public\index.html", "HTML", 0, 0, 0, 0, 0, 34, 0, 0, 10, 6, 50
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\public\model\trained_model.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 10473, 0, 1, 10474
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\server\package-lock.json", "JSON", 370, 0, 0, 0, 0, 0, 0, 0, 0, 1, 371
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\server\package.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\server\server.js", "JavaScript", 0, 0, 0, 100, 0, 0, 0, 0, 29, 62, 191
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\App.css", "CSS", 0, 0, 0, 0, 89, 0, 0, 0, 20, 39, 148
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\App.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 11, 48
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\app.py", "Python", 0, 0, 161, 0, 0, 0, 0, 0, 42, 55, 258
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\appTest.py", "Python", 0, 0, 148, 0, 0, 0, 0, 0, 33, 48, 229
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\compCss\AdminPortal.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\compCss\Home.css", "CSS", 0, 0, 0, 0, 43, 0, 0, 0, 1, 5, 49
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\compCss\Login.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 0, 20, 83
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\components\AdminPortal.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\components\Attendance.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\components\ErrorBoundary.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 1, 7, 33
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\components\Footer.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\components\Header.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\components\Home.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 9, 21
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\components\Login.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 13, 21, 103
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\components\StudentEnroll.js", "JavaScript", 0, 0, 0, 156, 0, 0, 0, 0, 11, 19, 186
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\components\SubjectDropdown.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 0, 29, 16, 115
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\cvtest.py", "Python", 0, 0, 69, 0, 0, 0, 0, 0, 59, 36, 164
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\haarcascade_frontalface_default.xml", "XML", 0, 0, 0, 0, 0, 0, 33271, 0, 43, 1, 33315
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\index.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\index.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 3, 7, 26
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\label_dict.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\model\trained_model.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 59490, 0, 1, 59491
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\recognize.py", "Python", 0, 0, 80, 0, 0, 0, 0, 0, 7, 32, 119
"c:\Users\tanis\Documents\GitHub\SmartAttendanceSystem\smart_attendance_system\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
